year,country,class,amount
1980,IE,A,1
1980,IE,B,10
1980,IE,C,7
1980,IE,D,1
1980,IE,E,1
1980,IE,F,2
1980,IE,G,2
1980,IE,H,1
1980,IS,A,1
1980,IS,B,2
1980,IS,C,2
1980,IT,A,324
1980,IT,B,596
1980,IT,C,868
1980,IT,D,103
1980,IT,E,90
1980,IT,F,277
1980,IT,G,294
1980,IT,H,366
1980,LI,A,4
1980,LI,B,9
1980,LI,C,11
1980,LI,D,2
1980,LI,E,2
1980,LI,F,7
1980,LI,G,3
1980,LI,H,2
1980,LU,A,59
1980,LU,B,16
1980,LU,C,17
1980,LU,D,3
1980,LU,E,6
1980,LU,F,10
1980,LU,G,9
1980,LU,H,31
1980,NL,A,76
1980,NL,B,114
1980,NL,C,158
1980,NL,D,35
1980,NL,E,13
1980,NL,F,63
1980,NL,G,69
1980,NL,H,68
1980,NO,A,9
1980,NO,B,43
1980,NO,C,25
1980,NO,D,7
1980,NO,E,5
1980,NO,F,7
1980,NO,G,37
1980,NO,H,44
1980,PL,A,16
1980,PL,B,62
1980,PL,C,28
1980,PL,D,8
1980,PL,E,7
1980,PL,F,42
1980,PL,G,216
1980,PL,H,171
1980,PT,A,2
1980,PT,G,3
1980,PT,H,1
1980,RO,A,21
1980,RO,C,3
1980,RO,F,1
1980,RO,G,2
1980,RO,H,1
1980,SE,A,290
1980,SE,B,296
1980,SE,C,502
1980,SE,D,23
1980,SE,E,53
1980,SE,F,91
1980,SE,G,225
1980,SE,H,507
1980,SK,E,2
1980,EE,A,0
1980,HR,A,0
1980,LT,A,0
1980,LV,A,0
1980,RU,A,0
1980,SI,A,0
1981,AT,A,97
1981,AT,B,150
1981,AT,C,234
1981,AT,D,16
1981,AT,E,31
1981,AT,F,55
1981,AT,G,53
1981,AT,H,62
1981,BE,A,104
1981,BE,B,99
1981,BE,C,134
1981,BE,D,13
1981,BE,E,23
1981,BE,F,50
1981,BE,G,55
1981,BE,H,74
1981,BG,A,8
1981,BG,B,2
1981,BG,C,27
1981,BG,D,34
1981,BG,E,1
1981,BG,F,2
1981,BG,G,1
1981,BG,H,8
1981,CH,A,354
1981,CH,B,465
1981,CH,C,742
1981,CH,D,85
1981,CH,E,83
1981,CH,F,198
1981,CH,G,139
1981,CH,H,175
1981,CZ,A,12
1981,CZ,B,3
1981,CZ,C,7
1981,CZ,D,3
1981,CZ,G,2
1981,CZ,H,1
1981,DE,A,2938
1981,DE,B,6148
1981,DE,C,6277
1981,DE,D,1601
1981,DE,E,1312
1981,DE,F,2970
1981,DE,G,1931
1981,DE,H,2887
1981,DK,A,99
1981,DK,B,107
1981,DK,C,99
1981,DK,D,12
1981,DK,E,26
1981,DK,F,57
1981,DK,G,64
1981,DK,H,50
1981,ES,A,19
1981,ES,B,22
1981,ES,C,13
1981,ES,D,2
1981,ES,E,4
1981,ES,F,12
1981,ES,G,2
1981,ES,H,4
1981,FI,A,132
1981,FI,B,134
1981,FI,C,216
1981,FI,D,11
1981,FI,E,20
1981,FI,F,35
1981,FI,G,36
1981,FI,H,44
1981,FR,A,903
1981,FR,B,649
1981,FR,C,1017
1981,FR,D,85
1981,FR,E,101
1981,FR,F,328
1981,FR,G,268
1981,FR,H,253
1981,GB,A,1511
1981,GB,B,590
1981,GB,C,1162
1981,GB,D,101
1981,GB,E,127
1981,GB,F,236
1981,GB,G,338
1981,GB,H,499
1981,GR,A,3
1981,GR,B,3
1981,GR,C,15
1981,GR,F,1
1981,GR,H,4
1981,HU,A,413
1981,HU,B,210
1981,HU,C,376
1981,HU,D,32
1981,HU,E,28
1981,HU,F,121
1981,HU,G,122
1981,HU,H,83
1981,IE,A,11
1981,IE,B,5
1981,IE,C,10
1981,IE,D,3
1981,IE,E,2
1981,IE,F,3
1981,IE,G,1
1981,IE,H,4
1981,IS,A,1
1981,IS,B,3
1981,IS,C,10
1981,IS,H,2
1981,IT,A,426
1981,IT,B,729
1981,IT,C,1053
1981,IT,D,114
1981,IT,E,143
1981,IT,F,333
1981,IT,G,368
1981,IT,H,379
1981,LI,A,6
1981,LI,B,6
1981,LI,C,13
1981,LI,D,1
1981,LI,E,1
1981,LI,F,2
1981,LI,H,3
1981,LU,A,23
1981,LU,B,22
1981,LU,C,21
1981,LU,D,2
1981,LU,E,2
1981,LU,F,7
1981,LU,G,16
1981,LU,H,26
1981,NL,A,177
1981,NL,B,138
1981,NL,C,229
1981,NL,D,23
1981,NL,E,44
1981,NL,F,58
1981,NL,G,62
1981,NL,H,78
1981,NO,A,31
1981,NO,B,42
1981,NO,C,36
1981,NO,D,5
1981,NO,E,8
1981,NO,F,7
1981,NO,G,42
1981,NO,H,71
1981,PL,A,37
1981,PL,B,52
1981,PL,C,41
1981,PL,D,15
1981,PL,E,41
1981,PL,F,36
1981,PL,G,72
1981,PL,H,106
1981,PT,A,1
1981,PT,C,3
1981,PT,D,1
1981,PT,E,1
1981,PT,F,2
1981,PT,G,1
1981,RO,A,4
1981,RO,C,1
1981,RO,D,1
1981,RO,H,6
1981,SE,A,410
1981,SE,B,284
1981,SE,C,511
1981,SE,D,36
1981,SE,E,75
1981,SE,F,92
1981,SE,G,345
1981,SE,H,404
1981,EE,A,0
1981,HR,A,0
1981,LT,A,0
1981,LV,A,0
1981,RU,A,0
1981,SI,A,0
1981,SK,A,0
1982,AT,A,78
1982,AT,B,152
1982,AT,C,298
1982,AT,D,31
1982,AT,E,32
1982,AT,F,63
1982,AT,G,71
1982,AT,H,73
1982,BE,A,73
1982,BE,B,114
1982,BE,C,137
1982,BE,D,19
1982,BE,E,5
1982,BE,F,63
1982,BE,G,68
1982,BE,H,69
1982,BG,A,10
1982,BG,B,9
1982,BG,C,50
1982,BG,D,44
1982,BG,F,8
1982,BG,G,9
1982,BG,H,13
1982,CH,A,301
1982,CH,B,475
1982,CH,C,786
1982,CH,D,81
1982,CH,E,91
1982,CH,F,207
1982,CH,G,171
1982,CH,H,200
1982,CZ,A,4
1982,CZ,B,4
1982,CZ,C,6
1982,CZ,E,1
1982,CZ,F,2
1982,CZ,G,1
1982,CZ,H,1
1982,DE,A,2502
1982,DE,B,5770
1982,DE,C,6556
1982,DE,D,1420
1982,DE,E,1273
1982,DE,F,2902
1982,DE,G,2153
1982,DE,H,2825
1982,DK,A,71
1982,DK,B,115
1982,DK,C,103
1982,DK,D,16
1982,DK,E,25
1982,DK,F,52
1982,DK,G,74
1982,DK,H,50
1982,ES,A,8
1982,ES,B,17
1982,ES,C,22
1982,ES,D,2
1982,ES,E,4
1982,ES,F,6
1982,ES,G,4
1982,ES,H,4
1982,FI,A,173
1982,FI,B,150
1982,FI,C,320
1982,FI,D,21
1982,FI,E,12
1982,FI,F,24
1982,FI,G,59
1982,FI,H,31
1982,FR,A,989
1982,FR,B,795
1982,FR,C,1370
1982,FR,D,158
1982,FR,E,120
1982,FR,F,371
1982,FR,G,279
1982,FR,H,401
1982,GB,A,2352
1982,GB,B,1301
1982,GB,C,2062
1982,GB,D,176
1982,GB,E,230
1982,GB,F,632
1982,GB,G,791
1982,GB,H,1067
1982,GR,A,1
1982,GR,B,3
1982,GR,C,5
1982,GR,F,1
1982,GR,G,3
1982,GR,H,3
1982,HU,A,341
1982,HU,B,243
1982,HU,C,380
1982,HU,D,42
1982,HU,E,37
1982,HU,F,133
1982,HU,G,130
1982,HU,H,99
1982,IE,A,7
1982,IE,B,7
1982,IE,C,8
1982,IE,E,2
1982,IE,F,4
1982,IE,G,2
1982,IE,H,2
1982,IS,A,3
1982,IS,B,3
1982,IS,C,4
1982,IS,E,1
1982,IS,F,2
1982,IS,H,2
1982,IT,A,380
1982,IT,B,785
1982,IT,C,1052
1982,IT,D,155
1982,IT,E,113
1982,IT,F,345
1982,IT,G,386
1982,IT,H,394
1982,LI,A,6
1982,LI,B,14
1982,LI,C,14
1982,LI,D,3
1982,LI,E,1
1982,LI,G,3
1982,LI,H,7
1982,LU,A,26
1982,LU,B,29
1982,LU,C,13
1982,LU,D,2
1982,LU,E,4
1982,LU,F,17
1982,LU,G,18
1982,LU,H,39
1982,NL,A,101
1982,NL,B,209
1982,NL,C,264
1982,NL,D,33
1982,NL,E,18
1982,NL,F,94
1982,NL,G,86
1982,NL,H,108
1982,NO,A,70
1982,NO,B,31
1982,NO,C,52
1982,NO,D,5
1982,NO,E,9
1982,NO,F,19
1982,NO,G,34
1982,NO,H,62
1982,PL,A,92
1982,PL,B,12
1982,PL,C,70
1982,PL,E,104
1982,PL,F,11
1982,PL,G,24
1982,PL,H,87
1982,PT,B,3
1982,PT,C,1
1982,PT,H,1
1982,RO,A,7
1982,RO,B,9
1982,RO,C,3
1982,RO,D,3
1982,RO,E,3
1982,RO,F,1
1982,RO,H,1
1982,SE,A,633
1982,SE,B,341
1982,SE,C,548
1982,SE,D,27
1982,SE,E,51
1982,SE,F,152
1982,SE,G,329
1982,SE,H,509
1982,SK,A,1
1982,SK,G,2
1982,EE,A,0
1982,HR,A,0
1982,LT,A,0
1982,LV,A,0
1982,RU,A,0
1982,SI,A,0
1983,AT,A,85
1983,AT,B,157
1983,AT,C,348
1983,AT,D,28
1983,AT,E,25
1983,AT,F,68
1983,AT,G,66
1983,AT,H,84
1983,BE,A,118
1983,BE,B,134
1983,BE,C,133
1983,BE,D,25
1983,BE,E,16
1983,BE,F,67
1983,BE,G,61
1983,BE,H,93
1983,BG,A,11
1983,BG,B,27
1983,BG,C,48
1983,BG,D,1
1983,BG,F,13
1983,BG,G,12
1983,BG,H,13
1983,CH,A,372
1983,CH,B,481
1983,CH,C,802
1983,CH,D,88
1983,CH,E,76
1983,CH,F,193
1983,CH,G,214
1983,CH,H,220
1983,CZ,A,4
1983,CZ,B,4
1983,CZ,C,7
1983,CZ,D,3
1983,CZ,E,3
1983,CZ,F,3
1983,CZ,G,3
1983,CZ,H,5
1983,DE,A,2408
1983,DE,B,5591
1983,DE,C,9052
1983,DE,D,1614
1983,DE,E,1071
1983,DE,F,2743
1983,DE,G,2322
1983,DE,H,2396
1983,DK,A,131
1983,DK,B,115
1983,DK,C,125
1983,DK,D,25
1983,DK,E,11
1983,DK,F,78
1983,DK,G,53
1983,DK,H,59
1983,ES,A,12
1983,ES,B,20
1983,ES,C,26
1983,ES,D,3
1983,ES,E,6
1983,ES,F,14
1983,ES,G,4
1983,ES,H,7
1983,FI,A,216
1983,FI,B,157
1983,FI,C,396
1983,FI,D,35
1983,FI,E,22
1983,FI,F,63
1983,FI,G,63
1983,FI,H,54
1983,FR,A,1625
1983,FR,B,1125
1983,FR,C,1863
1983,FR,D,154
1983,FR,E,147
1983,FR,F,436
1983,FR,G,312
1983,FR,H,872
1983,GB,A,2478
1983,GB,B,1637
1983,GB,C,2504
1983,GB,D,226
1983,GB,E,291
1983,GB,F,694
1983,GB,G,753
1983,GB,H,1127
1983,GR,A,1
1983,GR,B,2
1983,GR,C,4
1983,GR,D,2
1983,GR,F,1
1983,HU,A,307
1983,HU,B,244
1983,HU,C,440
1983,HU,D,43
1983,HU,E,52
1983,HU,F,108
1983,HU,G,124
1983,HU,H,129
1983,IE,A,6
1983,IE,B,6
1983,IE,C,15
1983,IE,E,1
1983,IE,F,4
1983,IE,G,1
1983,IE,H,4
1983,IS,B,1
1983,IS,C,3
1983,IS,E,1
1983,IT,A,434
1983,IT,B,786
1983,IT,C,1109
1983,IT,D,129
1983,IT,E,141
1983,IT,F,419
1983,IT,G,356
1983,IT,H,396
1983,LI,A,5
1983,LI,B,6
1983,LI,C,7
1983,LI,D,3
1983,LI,E,3
1983,LI,F,3
1983,LI,G,6
1983,LI,H,2
1983,LU,A,11
1983,LU,B,18
1983,LU,C,24
1983,LU,D,2
1983,LU,E,5
1983,LU,F,17
1983,LU,G,27
1983,LU,H,21
1983,NL,A,167
1983,NL,B,197
1983,NL,C,221
1983,NL,D,41
1983,NL,E,40
1983,NL,F,110
1983,NL,G,90
1983,NL,H,78
1983,NO,A,29
1983,NO,B,35
1983,NO,C,31
1983,NO,E,5
1983,NO,F,13
1983,NO,G,69
1983,NO,H,88
1983,PL,A,40
1983,PL,B,98
1983,PL,C,31
1983,PL,D,5
1983,PL,E,1
1983,PL,F,42
1983,PL,G,114
1983,PL,H,168
1983,PT,C,2
1983,PT,H,1
1983,RO,B,4
1983,RO,C,4
1983,RO,D,4
1983,RO,F,2
1983,RO,H,3
1983,SE,A,426
1983,SE,B,280
1983,SE,C,466
1983,SE,D,25
1983,SE,E,55
1983,SE,F,208
1983,SE,G,454
1983,SE,H,804
1983,EE,A,0
1983,HR,A,0
1983,LT,A,0
1983,LV,A,0
1983,RU,A,0
1983,SI,A,0
1983,SK,A,0
1984,AT,A,102
1984,AT,B,148
1984,AT,C,395
1984,AT,D,35
1984,AT,E,32
1984,AT,F,79
1984,AT,G,81
1984,AT,H,71
1984,BE,A,89
1984,BE,B,128
1984,BE,C,271
1984,BE,D,28
1984,BE,E,28
1984,BE,F,92
1984,BE,G,87
1984,BE,H,69
1984,BG,A,17
1984,BG,B,45
1984,BG,C,40
1984,BG,D,10
1984,BG,E,13
1984,BG,F,15
1984,BG,G,11
1984,BG,H,21
1984,CH,A,430
1984,CH,B,478
1984,CH,C,1013
1984,CH,D,86
1984,CH,E,76
1984,CH,F,252
1984,CH,G,177
1984,CH,H,187
1984,CZ,A,2
1984,CZ,B,4
1984,CZ,C,11
1984,CZ,E,1
1984,CZ,F,5
1984,CZ,G,3
1984,DE,A,2958
1984,DE,B,5886
1984,DE,C,11624
1984,DE,D,1231
1984,DE,E,1106
1984,DE,F,2566
1984,DE,G,2130
1984,DE,H,1308
1984,DK,A,125
1984,DK,B,138
1984,DK,C,123
1984,DK,D,13
1984,DK,E,23
1984,DK,F,71
1984,DK,G,65
1984,DK,H,36
1984,ES,A,12
1984,ES,B,27
1984,ES,C,47
1984,ES,D,1
1984,ES,E,2
1984,ES,F,11
1984,ES,G,5
1984,ES,H,16
1984,FI,A,239
1984,FI,B,274
1984,FI,C,364
1984,FI,D,42
1984,FI,E,38
1984,FI,F,123
1984,FI,G,106
1984,FI,H,78
1984,FR,A,2167
1984,FR,B,1358
1984,FR,C,3396
1984,FR,D,226
1984,FR,E,167
1984,FR,F,550
1984,FR,G,461
1984,FR,H,596
1984,GB,A,2174
1984,GB,B,1189
1984,GB,C,2750
1984,GB,D,151
1984,GB,E,148
1984,GB,F,531
1984,GB,G,544
1984,GB,H,689
1984,GR,A,4
1984,GR,B,7
1984,GR,C,13
1984,GR,D,1
1984,GR,F,1
1984,GR,G,2
1984,HU,A,341
1984,HU,B,234
1984,HU,C,467
1984,HU,D,45
1984,HU,E,41
1984,HU,F,92
1984,HU,G,143
1984,HU,H,106
1984,IE,A,9
1984,IE,B,6
1984,IE,C,17
1984,IE,F,7
1984,IE,G,3
1984,IE,H,7
1984,IS,A,1
1984,IS,B,1
1984,IS,C,2
1984,IS,E,1
1984,IS,H,1
1984,IT,A,436
1984,IT,B,862
1984,IT,C,1155
1984,IT,D,143
1984,IT,E,130
1984,IT,F,370
1984,IT,G,437
1984,IT,H,408
1984,LI,A,2
1984,LI,B,6
1984,LI,C,7
1984,LI,D,3
1984,LI,E,2
1984,LI,F,2
1984,LI,G,7
1984,LI,H,7
1984,LU,A,15
1984,LU,B,12
1984,LU,C,22
1984,LU,D,1
1984,LU,E,3
1984,LU,F,13
1984,LU,G,7
1984,LU,H,11
1984,NL,A,112
1984,NL,B,234
1984,NL,C,402
1984,NL,D,30
1984,NL,E,34
1984,NL,F,107
1984,NL,G,98
1984,NL,H,106
1984,NO,A,74
1984,NO,B,32
1984,NO,C,33
1984,NO,D,2
1984,NO,E,4
1984,NO,F,20
1984,NO,G,56
1984,NO,H,82
1984,PL,A,107
1984,PL,B,60
1984,PL,C,40
1984,PL,D,5
1984,PL,E,12
1984,PL,F,41
1984,PL,G,73
1984,PL,H,124
1984,PT,A,1
1984,PT,B,1
1984,PT,C,1
1984,PT,D,3
1984,PT,F,2
1984,PT,G,2
1984,PT,H,2
1984,RO,B,1
1984,RO,C,1
1984,RO,H,4
1984,SE,A,712
1984,SE,B,285
1984,SE,C,370
1984,SE,D,18
1984,SE,E,127
1984,SE,F,167
1984,SE,G,412
1984,SE,H,699
1984,SK,C,1
1984,EE,A,0
1984,HR,A,0
1984,LT,A,0
1984,LV,A,0
1984,RU,A,0
1984,SI,A,0
1985,AT,A,117
1985,AT,B,211
1985,AT,C,425
1985,AT,D,41
1985,AT,E,42
1985,AT,F,68
1985,AT,G,74
1985,AT,H,67
1985,BE,A,151
1985,BE,B,213
1985,BE,C,239
1985,BE,D,23
1985,BE,E,23
1985,BE,F,92
1985,BE,G,73
1985,BE,H,115
1985,BG,A,31
1985,BG,B,43
1985,BG,C,69
1985,BG,D,6
1985,BG,E,6
1985,BG,F,18
1985,BG,G,7
1985,BG,H,19
1985,CH,A,416
1985,CH,B,536
1985,CH,C,945
1985,CH,D,107
1985,CH,E,99
1985,CH,F,239
1985,CH,G,195
1985,CH,H,227
1985,CZ,B,3
1985,CZ,C,2
1985,CZ,D,4
1985,CZ,E,1
1985,CZ,F,1
1985,CZ,H,2
1985,DE,A,3039
1985,DE,B,6185
1985,DE,C,9345
1985,DE,D,1681
1985,DE,E,1193
1985,DE,F,2728
1985,DE,G,2495
1985,DE,H,2848
1985,DK,A,153
1985,DK,B,153
1985,DK,C,162
1985,DK,D,23
1985,DK,E,19
1985,DK,F,75
1985,DK,G,59
1985,DK,H,42
1985,ES,A,19
1985,ES,B,20
1985,ES,C,20
1985,ES,D,10
1985,ES,E,6
1985,ES,F,5
1985,ES,G,11
1985,ES,H,14
1985,FI,A,334
1985,FI,B,287
1985,FI,C,521
1985,FI,D,76
1985,FI,E,37
1985,FI,F,124
1985,FI,G,122
1985,FI,H,78
1985,FR,A,2562
1985,FR,B,1437
1985,FR,C,3386
1985,FR,D,304
1985,FR,E,154
1985,FR,F,491
1985,FR,G,564
1985,FR,H,646
1985,GB,A,2045
1985,GB,B,1117
1985,GB,C,2344
1985,GB,D,197
1985,GB,E,180
1985,GB,F,480
1985,GB,G,506
1985,GB,H,702
1985,GR,A,1
1985,GR,B,6
1985,GR,C,8
1985,GR,E,1
1985,GR,F,1
1985,GR,G,1
1985,GR,H,1
1985,HU,A,287
1985,HU,B,284
1985,HU,C,455
1985,HU,D,31
1985,HU,E,48
1985,HU,F,102
1985,HU,G,138
1985,HU,H,94
1985,IE,A,10
1985,IE,B,16
1985,IE,C,14
1985,IE,E,4
1985,IE,F,5
1985,IE,G,7
1985,IE,H,5
1985,IS,A,2
1985,IS,C,3
1985,IT,A,472
1985,IT,B,917
1985,IT,C,1254
1985,IT,D,147
1985,IT,E,157
1985,IT,F,391
1985,IT,G,442
1985,IT,H,424
1985,LI,A,8
1985,LI,B,11
1985,LI,C,13
1985,LI,E,2
1985,LI,F,5
1985,LI,G,8
1985,LI,H,5
1985,LU,A,4
1985,LU,B,12
1985,LU,C,9
1985,LU,E,1
1985,LU,F,7
1985,LU,G,13
1985,LU,H,17
1985,LV,C,1
1985,NL,A,150
1985,NL,B,206
1985,NL,C,257
1985,NL,D,40
1985,NL,E,41
1985,NL,F,115
1985,NL,G,85
1985,NL,H,89
1985,NO,A,108
1985,NO,B,58
1985,NO,C,84
1985,NO,D,15
1985,NO,E,6
1985,NO,F,16
1985,NO,G,28
1985,NO,H,32
1985,PL,A,35
1985,PL,B,41
1985,PL,C,93
1985,PL,D,28
1985,PL,E,156
1985,PL,F,22
1985,PL,G,60
1985,PL,H,48
1985,PT,A,1
1985,PT,B,8
1985,PT,C,3
1985,PT,E,1
1985,RO,C,2
1985,RO,F,1
1985,RO,H,4
1985,RU,B,1
1985,SE,A,463
1985,SE,B,427
1985,SE,C,831
1985,SE,D,86
1985,SE,E,86
1985,SE,F,212
1985,SE,G,395
1985,SE,H,466
1985,SI,H,1
1985,SK,E,1
1985,EE,A,0
1985,HR,A,0
1985,LT,A,0
1986,AT,A,189
1986,AT,B,194
1986,AT,C,378
1986,AT,D,49
1986,AT,E,32
1986,AT,F,81
1986,AT,G,66
1986,AT,H,79
1986,BE,A,203
1986,BE,B,204
1986,BE,C,237
1986,BE,D,30
1986,BE,E,63
1986,BE,F,68
1986,BE,G,68
1986,BE,H,90
1986,BG,A,5
1986,BG,B,11
1986,BG,C,42
1986,BG,D,1
1986,BG,E,4
1986,BG,F,15
1986,BG,G,2
1986,BG,H,19
1986,CH,A,399
1986,CH,B,546
1986,CH,C,904
1986,CH,D,102
1986,CH,E,97
1986,CH,F,198
1986,CH,G,203
1986,CH,H,199
1986,CZ,B,1
1986,CZ,C,3
1986,CZ,G,1
1986,CZ,H,3
1986,DE,A,3169
1986,DE,B,6657
1986,DE,C,9597
1986,DE,D,1672
1986,DE,E,1291
1986,DE,F,2818
1986,DE,G,2632
1986,DE,H,3114
1986,DK,A,162
1986,DK,B,187
1986,DK,C,158
1986,DK,D,31
1986,DK,E,24
1986,DK,F,75
1986,DK,G,105
1986,DK,H,71
1986,ES,A,34
1986,ES,B,40
1986,ES,C,77
1986,ES,D,5
1986,ES,E,9
1986,ES,F,18
1986,ES,G,19
1986,ES,H,11
1986,FI,A,325
1986,FI,B,493
1986,FI,C,709
1986,FI,D,104
1986,FI,E,47
1986,FI,F,193
1986,FI,G,111
1986,FI,H,133
1986,FR,A,2899
1986,FR,B,1557
1986,FR,C,3252
1986,FR,D,235
1986,FR,E,263
1986,FR,F,577
1986,FR,G,537
1986,FR,H,1001
1986,GB,A,2077
1986,GB,B,1217
1986,GB,C,2453
1986,GB,D,193
1986,GB,E,175
1986,GB,F,501
1986,GB,G,578
1986,GB,H,772
1986,GR,A,3
1986,GR,B,10
1986,GR,C,16
1986,GR,D,1
1986,GR,E,3
1986,GR,F,1
1986,GR,H,2
1986,HU,A,243
1986,HU,B,223
1986,HU,C,372
1986,HU,D,35
1986,HU,E,48
1986,HU,F,83
1986,HU,G,108
1986,HU,H,102
1986,IE,A,12
1986,IE,B,20
1986,IE,C,19
1986,IE,D,4
1986,IE,E,2
1986,IE,F,12
1986,IE,G,9
1986,IE,H,8
1986,IS,A,1
1986,IS,B,1
1986,IS,C,1
1986,IS,F,1
1986,IS,G,2
1986,IT,A,652
1986,IT,B,1017
1986,IT,C,1400
1986,IT,D,176
1986,IT,E,184
1986,IT,F,500
1986,IT,G,538
1986,IT,H,565
1986,LI,A,7
1986,LI,B,11
1986,LI,C,20
1986,LI,D,3
1986,LI,F,3
1986,LI,G,3
1986,LI,H,8
1986,LU,A,10
1986,LU,B,17
1986,LU,C,12
1986,LU,D,1
1986,LU,E,17
1986,LU,F,9
1986,LU,G,10
1986,LU,H,10
1986,NL,A,197
1986,NL,B,233
1986,NL,C,288
1986,NL,D,28
1986,NL,E,42
1986,NL,F,91
1986,NL,G,100
1986,NL,H,69
1986,NO,A,108
1986,NO,B,63
1986,NO,C,119
1986,NO,D,6
1986,NO,E,10
1986,NO,F,22
1986,NO,G,61
1986,NO,H,55
1986,PL,A,2
1986,PL,B,4
1986,PL,C,22
1986,PL,D,1
1986,PL,E,51
1986,PL,G,3
1986,PL,H,3
1986,PT,C,2
1986,PT,F,1
1986,PT,H,1
1986,RO,G,1
1986,RO,H,3
1986,RU,A,3
1986,RU,B,2
1986,RU,C,18
1986,RU,F,1
1986,SE,A,425
1986,SE,B,459
1986,SE,C,789
1986,SE,D,105
1986,SE,E,57
1986,SE,F,196
1986,SE,G,376
1986,SE,H,522
1986,EE,A,0
1986,HR,A,0
1986,LT,A,0
1986,LV,A,0
1986,SI,A,0
1986,SK,A,0
1987,AT,A,132
1987,AT,B,247
1987,AT,C,371
1987,AT,D,40
1987,AT,E,38
1987,AT,F,85
1987,AT,G,71
1987,AT,H,67
1987,BE,A,205
1987,BE,B,188
1987,BE,C,307
1987,BE,D,33
1987,BE,E,25
1987,BE,F,77
1987,BE,G,77
1987,BE,H,116
1987,BG,A,21
1987,BG,B,52
1987,BG,C,49
1987,BG,D,18
1987,BG,E,8
1987,BG,F,21
1987,BG,G,12
1987,BG,H,11
1987,CH,A,460
1987,CH,B,540
1987,CH,C,1032
1987,CH,D,97
1987,CH,E,100
1987,CH,F,229
1987,CH,G,239
1987,CH,H,239
1987,CZ,A,1
1987,CZ,B,4
1987,CZ,D,3
1987,CZ,E,1
1987,CZ,G,7
1987,CZ,H,9
1987,DE,A,3486
1987,DE,B,6877
1987,DE,C,9695
1987,DE,D,1688
1987,DE,E,1641
1987,DE,F,3315
1987,DE,G,2614
1987,DE,H,3205
1987,DK,A,142
1987,DK,B,197
1987,DK,C,181
1987,DK,D,21
1987,DK,E,26
1987,DK,F,102
1987,DK,G,112
1987,DK,H,72
1987,ES,A,81
1987,ES,B,84
1987,ES,C,122
1987,ES,D,17
1987,ES,E,11
1987,ES,F,33
1987,ES,G,20
1987,ES,H,27
1987,FI,A,511
1987,FI,B,564
1987,FI,C,970
1987,FI,D,141
1987,FI,E,64
1987,FI,F,294
1987,FI,G,216
1987,FI,H,181
1987,FR,A,2989
1987,FR,B,1513
1987,FR,C,3549
1987,FR,D,386
1987,FR,E,197
1987,FR,F,590
1987,FR,G,611
1987,FR,H,1275
1987,GB,A,2095
1987,GB,B,1219
1987,GB,C,2311
1987,GB,D,142
1987,GB,E,187
1987,GB,F,538
1987,GB,G,544
1987,GB,H,911
1987,GR,A,17
1987,GR,B,8
1987,GR,C,15
1987,GR,F,1
1987,GR,G,2
1987,GR,H,5
1987,HU,A,248
1987,HU,B,177
1987,HU,C,384
1987,HU,D,19
1987,HU,E,25
1987,HU,F,85
1987,HU,G,129
1987,HU,H,86
1987,IE,A,33
1987,IE,B,17
1987,IE,C,26
1987,IE,D,4
1987,IE,E,2
1987,IE,F,10
1987,IE,G,10
